sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
235,cor,3,A,,Period Unit Description,String,0..1,,Free format description of the period unit,期間単位説明,対象期間単位の説明。,businessTransactionsDocumentInformationPeriodUnitDescription,CO10-13,$.Business Transactions.Document Information.Period Unit Description,cor,Document Information
236,cor,3,A,,Source Application,String,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,businessTransactionsDocumentInformationSourceApplication,CO10-14,$.Business Transactions.Document Information.Source Application,cor,Document Information
237,cor,3,A,,Target Application,String,0..1,,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,businessTransactionsDocumentInformationTargetApplication,CO10-15,$.Business Transactions.Document Information.Target Application,cor,Document Information
238,cor,3,A,,Default Currency,QName,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,businessTransactionsDocumentInformationDefaultCurrency,CO10-16,$.Business Transactions.Document Information.Default Currency,cor,Document Information
239,lnk,3,C,,Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,businessTransactionsDocumentInformationSummaryReportingTaxonomies,CO10-17,$.Business Transactions.Document Information.Summary Reporting Taxonomies,lnk,Summary Reporting Taxonomies
240,lnk,4,A,,Summary Reporting Taxonomy ID,String,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,businessTransactionsDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomyId,LN02-01,$.Business Transactions.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy ID,lnk,Summary Reporting Taxonomies
241,lnk,4,A,,Summary Reporting Taxonomy Schema Reference Href Attribute,String,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,businessTransactionsDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomySchemaReferenceHrefAttribute,LN02-02,$.Business Transactions.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy Schema Reference Href Attribute,lnk,Summary Reporting Taxonomies
242,lnk,4,A,,Summary Reporting Taxonomy Header,String,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,businessTransactionsDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomyHeader,LN02-03,$.Business Transactions.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy Header,lnk,Summary Reporting Taxonomies
243,lnk,4,A,,Summary Reporting Taxonomy Description,String,0..1,,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,businessTransactionsDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomyDescription,LN02-04,$.Business Transactions.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy Description,lnk,Summary Reporting Taxonomies
244,cor,2,C,,Entity_ Party,,0..1,,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,businessTransactionsEntityParty,BT09-02,$.Business Transactions.Entity_ Party,cor,Entity_ Party
245,cor,3,A,,Party Name,String,0..1,,Name of the party,,,businessTransactionsEntityPartyName,CO14-01,$.Business Transactions.Entity_ Party.Party Name,cor,Entity_ Party
246,cor,3,A,,Party ID,String,0..1,,ID Number of the party,,,businessTransactionsEntityPartyId,CO14-02,$.Business Transactions.Entity_ Party.Party ID,cor,Entity_ Party
247,cor,3,A,,Party Business Description,String,0..1,,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。,businessTransactionsEntityPartyBusinessDescription,CO14-03,$.Business Transactions.Entity_ Party.Party Business Description,cor,Entity_ Party
248,bus,3,C,,Party_ Phone,,0..*,,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。,businessTransactionsEntityPartyPhone,CO14-04,$.Business Transactions.Entity_ Party.Party_ Phone,bus,Party_ Phone
249,bus,4,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,businessTransactionsEntityPartyPhoneNumber,BU01-01,$.Business Transactions.Entity_ Party.Party_ Phone.Phone Number,bus,Party_ Phone
250,bus,4,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",businessTransactionsEntityPartyPhoneNumberDescription,BU01-02,$.Business Transactions.Entity_ Party.Party_ Phone.Phone Number Description,bus,Party_ Phone
251,bus,3,C,,Party_ Fax,,0..*,,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,businessTransactionsEntityPartyFax,CO14-05,$.Business Transactions.Entity_ Party.Party_ Fax,bus,Party_ Fax
252,bus,4,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,businessTransactionsEntityPartyFaxNumber,BU06-01,$.Business Transactions.Entity_ Party.Party_ Fax.Fax Number,bus,Party_ Fax
253,bus,4,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),businessTransactionsEntityPartyFaxNumberUsage,BU06-02,$.Business Transactions.Entity_ Party.Party_ Fax.Fax Number Usage,bus,Party_ Fax
254,bus,3,C,,Party_ Email,,0..*,,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,businessTransactionsEntityPartyEmail,CO14-06,$.Business Transactions.Entity_ Party.Party_ Email,bus,Party_ Email
255,bus,4,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,businessTransactionsEntityPartyEmailAddress,BU11-01,$.Business Transactions.Entity_ Party.Party_ Email.Email Address,bus,Party_ Email
256,bus,4,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),businessTransactionsEntityPartyEmailAddressUsage,BU11-02,$.Business Transactions.Entity_ Party.Party_ Email.Email Address Usage,bus,Party_ Email
257,bus,3,C,,Registered_ Organization Identifier,,0..*,,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。,businessTransactionsEntityPartyRegisteredOrganizationIdentifier,CO14-07,$.Business Transactions.Entity_ Party.Registered_ Organization Identifier,bus,Organization Identifier
258,bus,4,A,PK,Organization Identifier Code,String,0..1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,businessTransactionsEntityPartyRegisteredOrganizationIdentifierOrganizationIdentifierCode,BU30-01,$.Business Transactions.Entity_ Party.Registered_ Organization Identifier.Organization Identifier Code,bus,Organization Identifier
259,bus,4,A,,Organization Identifier Description,String,0..1,,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。,businessTransactionsEntityPartyRegisteredOrganizationIdentifierOrganizationIdentifierDescription,BU30-02,$.Business Transactions.Entity_ Party.Registered_ Organization Identifier.Organization Identifier Description,bus,Organization Identifier
260,bus,3,C,,Party_ Address,,0..*,,Address class for the party,【住所】,報告事業体の住所構造体。,businessTransactionsEntityPartyAddress,CO14-08,$.Business Transactions.Entity_ Party.Party_ Address,bus,Party_ Address
261,bus,4,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,businessTransactionsEntityPartyAddressName,BU21-01,$.Business Transactions.Entity_ Party.Party_ Address.Name,bus,Party_ Address
262,bus,4,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,businessTransactionsEntityPartyAddressDescription,BU21-02,$.Business Transactions.Entity_ Party.Party_ Address.Description,bus,Party_ Address
263,bus,4,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,businessTransactionsEntityPartyAddressPurpose,BU21-03,$.Business Transactions.Entity_ Party.Party_ Address.Purpose,bus,Party_ Address
264,bus,4,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,businessTransactionsEntityPartyAddressLocationId,BU21-04,$.Business Transactions.Entity_ Party.Party_ Address.Location ID,bus,Party_ Address
265,bus,4,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,businessTransactionsEntityPartyAddressBuildingNumber,BU21-05,$.Business Transactions.Entity_ Party.Party_ Address.Building Number,bus,Party_ Address
266,bus,4,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,businessTransactionsEntityPartyAddressStreet,BU21-06,$.Business Transactions.Entity_ Party.Party_ Address.Street,bus,Party_ Address
267,bus,4,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,businessTransactionsEntityPartyAddressDetail,BU21-07,$.Business Transactions.Entity_ Party.Party_ Address.Address Detail,bus,Party_ Address
268,bus,4,A,,City,String,0..1,,City,住所都市,住所の都市。,businessTransactionsEntityPartyAddressCity,BU21-08,$.Business Transactions.Entity_ Party.Party_ Address.City,bus,Party_ Address
269,bus,4,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,businessTransactionsEntityPartyAddressStateOrProvince,BU21-09,$.Business Transactions.Entity_ Party.Party_ Address.State or Province,bus,Party_ Address
270,bus,4,A,,Country,String,0..1,,Country,住所国,住所の国。,businessTransactionsEntityPartyAddressCountry,BU21-10,$.Business Transactions.Entity_ Party.Party_ Address.Country,bus,Party_ Address
271,bus,4,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,businessTransactionsEntityPartyAddressZipOrPostalCode,BU21-11,$.Business Transactions.Entity_ Party.Party_ Address.Zip or Postal Code,bus,Party_ Address
272,bus,4,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,businessTransactionsEntityPartyAddressActiveIndicator,BU21-12,$.Business Transactions.Entity_ Party.Party_ Address.Active Indicator,bus,Party_ Address
273,bus,3,C,,Party_ Web Site,,0..*,,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,businessTransactionsEntityPartyWebSite,CO14-09,$.Business Transactions.Entity_ Party.Party_ Web Site,bus,Party_ Web Site
274,bus,4,A,PK,Web Site URL,anyURI,0..1,,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,businessTransactionsEntityPartyWebSiteWebSiteUrl,BU16-01,$.Business Transactions.Entity_ Party.Party_ Web Site.Web Site URL,bus,Party_ Web Site
275,bus,4,A,,Web Site Description,String,0..1,,Description of the web site.,Webサイト説明,ウェブサイトの説明。,businessTransactionsEntityPartyWebSiteWebSiteDescription,BU16-02,$.Business Transactions.Entity_ Party.Party_ Web Site.Web Site Description,bus,Party_ Web Site
276,bus,3,C,,Party_ Contact,,0..*,,Information about contacts.,【担当者情報】,担当者に関する情報。,businessTransactionsEntityPartyContact,CO14-10,$.Business Transactions.Entity_ Party.Party_ Contact,bus,Party_ Contact
277,bus,4,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),businessTransactionsEntityPartyContactPrefix,BU22-01,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Prefix,bus,Party_ Contact
278,bus,4,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,businessTransactionsEntityPartyContactLastName,BU22-02,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Last Name,bus,Party_ Contact
279,bus,4,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,businessTransactionsEntityPartyContactFirstName,BU22-03,$.Business Transactions.Entity_ Party.Party_ Contact.Contact First Name,bus,Party_ Contact
280,bus,4,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),businessTransactionsEntityPartyContactSuffix,BU22-04,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Suffix,bus,Party_ Contact
281,bus,4,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,businessTransactionsEntityPartyContactAttentionLine,BU22-05,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Attention Line,bus,Party_ Contact
282,bus,4,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,businessTransactionsEntityPartyContactPositionRole,BU22-06,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Position Role,bus,Party_ Contact
283,bus,4,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,businessTransactionsEntityPartyContactContactType,BU22-07,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Contact Type,bus,Party_ Contact
284,bus,4,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,businessTransactionsEntityPartyContactLocationIdCrossReference,BU22-08,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Location ID cross reference,bus,Party_ Contact
285,bus,4,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,businessTransactionsEntityPartyContactActive,BU22-09,$.Business Transactions.Entity_ Party.Party_ Contact.Contact Active,bus,Party_ Contact
286,bus,4,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,businessTransactionsEntityPartyContactPhone,BU22-10,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Phone,bus,Contact_ Phone
287,bus,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,businessTransactionsEntityPartyContactPhoneNumber,BU03-01,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Phone.Phone Number,bus,Contact_ Phone
288,bus,5,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",businessTransactionsEntityPartyContactPhoneNumberDescription,BU03-02,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Phone.Phone Number Description,bus,Contact_ Phone
289,bus,4,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,businessTransactionsEntityPartyContactFax,BU22-11,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Fax,bus,Contact_ Fax
290,bus,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,businessTransactionsEntityPartyContactFaxNumber,BU08-01,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Fax.Fax Number,bus,Contact_ Fax
291,bus,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),businessTransactionsEntityPartyContactFaxNumberUsage,BU08-02,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Fax.Fax Number Usage,bus,Contact_ Fax
292,bus,4,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,businessTransactionsEntityPartyContactEmail,BU22-12,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Email,bus,Contact_ Email
293,bus,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,businessTransactionsEntityPartyContactEmailAddress,BU13-01,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Email.Email Address,bus,Contact_ Email
294,bus,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),businessTransactionsEntityPartyContactEmailAddressUsage,BU13-02,$.Business Transactions.Entity_ Party.Party_ Contact.Contact_ Email.Email Address Usage,bus,Contact_ Email
295,cor,3,A,,Default Accounting Method Purpose,Token,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",businessTransactionsEntityPartyDefaultAccountingMethodPurpose,CO14-11,$.Business Transactions.Entity_ Party.Default Accounting Method Purpose,cor,Entity_ Party
296,cor,3,A,,Default Accounting Method Purpose Description,String,0..1,,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,businessTransactionsEntityPartyDefaultAccountingMethodPurposeDescription,CO14-12,$.Business Transactions.Entity_ Party.Default Accounting Method Purpose Description,cor,Entity_ Party
297,cor,3,A,,Fiscal Year Start,Date,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,businessTransactionsEntityPartyFiscalYearStart,CO14-13,$.Business Transactions.Entity_ Party.Fiscal Year Start,cor,Entity_ Party
298,cor,3,A,,Fiscal Year End,Date,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,businessTransactionsEntityPartyFiscalYearEnd,CO14-14,$.Business Transactions.Entity_ Party.Fiscal Year End,cor,Entity_ Party
299,bus,3,C,,Specified_ Accounting Method Structure,,0..*,,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,businessTransactionsEntityPartySpecifiedAccountingMethodStructure,CO14-15,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure,bus,Accounting Method Structure
300,bus,4,A,,Accounting Method,Token,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",businessTransactionsEntityPartySpecifiedAccountingMethodStructureAccountingMethod,BU25-01,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method,bus,Accounting Method Structure
301,bus,4,A,,Accounting Method Description,String,0..1,,Free format description of the accounting method,会計処理方法説明,会計処理方法の説明。,businessTransactionsEntityPartySpecifiedAccountingMethodStructureAccountingMethodDescription,BU25-02,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Description,bus,Accounting Method Structure
302,bus,4,A,,Accounting Method Purpose,Token,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",businessTransactionsEntityPartySpecifiedAccountingMethodStructureAccountingMethodPurpose,BU25-03,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Purpose,bus,Accounting Method Structure
303,bus,4,A,,Accounting Method Purpose Description,String,0..1,,Free format description of the accounting method purpose,会計処理方法目的説明,会計処理方法の目的の説明。,businessTransactionsEntityPartySpecifiedAccountingMethodStructureAccountingMethodPurposeDescription,BU25-04,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Purpose Description,bus,Accounting Method Structure
304,bus,4,A,,Accounting Method Start Date,Date Time,0..1,,Accounting Method Start Date,会計処理方法開始日付,会計処理方法の開始日。,businessTransactionsEntityPartySpecifiedAccountingMethodStructureAccountingMethodStartDate,BU25-05,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method Start Date,bus,Accounting Method Structure
305,bus,4,A,,Accounting Method End Date,Date Time,0..1,,Accounting Method End Date,会計処理方法終了日付,会計処理方法の終了日。,businessTransactionsEntityPartySpecifiedAccountingMethodStructureAccountingMethodEndDate,BU25-06,$.Business Transactions.Entity_ Party.Specified_ Accounting Method Structure.Accounting Method End Date,bus,Accounting Method Structure
306,bus,3,C,,Assigned_ Accountant,,0..*,,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。,businessTransactionsEntityPartyAssignedAccountant,CO14-16,$.Business Transactions.Entity_ Party.Assigned_ Accountant,bus,Accountant
307,bus,4,A,,Accountant Name,String,0..1,,Name of the accountant,会計事務所名,会計事務所の名前。,businessTransactionsEntityPartyAssignedAccountantName,BU26-01,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant Name,bus,Accountant
308,bus,4,A,,Accountant Type of Engagement,Token,0..1,,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",契約種別,"外部会計事務所によって実行される契約の種別。_x000D_
[設定値のリスト]_x000D_
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",businessTransactionsEntityPartyAssignedAccountantTypeOfEngagement,BU26-02,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant Type of Engagement,bus,Accountant
309,bus,4,A,,Accountant Type of Engagement Description,String,0..1,,Free format description of the type of engagement,契約種別説明,契約種別の説明。,businessTransactionsEntityPartyAssignedAccountantTypeOfEngagementDescription,BU26-03,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant Type of Engagement Description,bus,Accountant
310,bus,4,C,,Accountant_ Address,,0..*,,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。,businessTransactionsEntityPartyAssignedAccountantAddress,BU26-04,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address,bus,Accountant_ Address
311,bus,5,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,businessTransactionsEntityPartyAssignedAccountantAddressName,BU19-01,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Name,bus,Accountant_ Address
312,bus,5,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,businessTransactionsEntityPartyAssignedAccountantAddressDescription,BU19-02,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Description,bus,Accountant_ Address
313,bus,5,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,businessTransactionsEntityPartyAssignedAccountantAddressPurpose,BU19-03,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Purpose,bus,Accountant_ Address
314,bus,5,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,businessTransactionsEntityPartyAssignedAccountantAddressLocationId,BU19-04,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Location ID,bus,Accountant_ Address
315,bus,5,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,businessTransactionsEntityPartyAssignedAccountantAddressBuildingNumber,BU19-05,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Building Number,bus,Accountant_ Address
316,bus,5,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,businessTransactionsEntityPartyAssignedAccountantAddressStreet,BU19-06,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Street,bus,Accountant_ Address
317,bus,5,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,businessTransactionsEntityPartyAssignedAccountantAddressDetail,BU19-07,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Address Detail,bus,Accountant_ Address
318,bus,5,A,,City,String,0..1,,City,住所都市,住所の都市。,businessTransactionsEntityPartyAssignedAccountantAddressCity,BU19-08,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.City,bus,Accountant_ Address
319,bus,5,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,businessTransactionsEntityPartyAssignedAccountantAddressStateOrProvince,BU19-09,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.State or Province,bus,Accountant_ Address
320,bus,5,A,,Country,String,0..1,,Country,住所国,住所の国。,businessTransactionsEntityPartyAssignedAccountantAddressCountry,BU19-10,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Country,bus,Accountant_ Address
321,bus,5,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,businessTransactionsEntityPartyAssignedAccountantAddressZipOrPostalCode,BU19-11,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Zip or Postal Code,bus,Accountant_ Address
322,bus,5,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,businessTransactionsEntityPartyAssignedAccountantAddressActiveIndicator,BU19-12,$.Business Transactions.Entity_ Party.Assigned_ Accountant.Accountant_ Address.Active Indicator,bus,Accountant_ Address
