sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
253,2,Attribute,,cor,XBRL,XBRL Detailed Content Filter,,String,,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。
254,2,Attribute,,cor,XBRL,XBRL Reporting Date Selector,,Token,,,0..1,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。
255,2,Attribute,,cor,XBRL,XBRL Summary Operator,,String,,,0..1,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,,
256,2,Attribute,,cor,XBRL,XBRL Summary Unit Numerator,,Token,,,1..1,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
257,2,Attribute,,cor,XBRL,XBRL Summary Unit Denominator,,Token,,,0..1,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
258,2,Attribute,,cor,XBRL,XBRL Summary Reporting Taxonomy ID Reference,,String,,,0..1,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] class at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] classs that point to a specific taxonomy.",集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomies構造体で定義される。特定のタクソノミを示すxbrlInfo構造体の集合を、アプリケーションが識別できるようにする。
259,1,Class,,cor,Detail_ XBRL,,,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
260,2,Specialization,,cor,Detail_ XBRL,,,,cor,XBRL,1,,,
261,1,Abstract Class,,bus,Measurable,,,,,,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。
262,2,Attribute,PK,bus,Measurable,Measurable Code,,Token,,,0..1,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他_x000D_
[設定値のリスト]_x000D_
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)"
263,2,Attribute,,bus,Measurable,Measurable Code Description,,String,,,0..1,Free format description of the measurable code,計測可能物コード説明,計測可能物のコードの説明。
264,2,Attribute,,bus,Measurable,Measurable Category,,String,,,0..1,Category of the measurable,計測可能物カテゴリ,計測可能物のカテゴリ。
265,2,Attribute,,bus,Measurable,Measurable Identification,,String,,,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。
266,2,Attribute,,bus,Measurable,Schema for Measurable Identification,,String,,,0..1,URI or other identifier for schema with which measurable ID can be validated,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。
267,2,Attribute,,bus,Measurable,Secondary Measurable Code,,String,,,0..1,Second identifier (such as vendor's item number),計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。
268,2,Attribute,,bus,Measurable,Schema for Secondary Measurable Identification,,String,,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。
269,2,Attribute,,bus,Measurable,Measurable Description,,String,,,0..1,Text description of measurable (e.g. inventory item or other identifier),計測可能物説明,計測可能物の説明。（たとえば、在庫やその他の識別子）
270,2,Attribute,,bus,Measurable,Measurable Quantity,,Decimal,,,0..1,"Number of units in this transaction; for non-monetary calculations; can be square footage, number of people, etc.",数量,この取引における、単位数量。金額計算用ではない。平方フィート、人数など。
271,2,Attribute,,bus,Measurable,Measurable Qualifier,,Token,,,0..1,"Field that can represent grading, inspection codes, ratings and other qualifiers to properly capture PKI/Balanced Scorecard information",修飾子,PKI又はバランススコアカード情報を適正に把握するための、等級付け、検査コード、格付けその他の修飾子を示す。
272,2,Attribute,,bus,Measurable,Measurable Unit of Measure,,String,,,0..1,"Description of unit: e.g. each, case, dozen, etc. ISO standard coding recommended.",計量単位,単位の説明。たとえば、個、箱、ダースなど。ISO標準のコードを推奨。
273,2,Attribute,,bus,Measurable,Measurable Per Unit Cost/Price,,Monetary,,,0..1,"Per unit price of the measurable. Although one might expect that measurableQuantity * measurableCostPerUnit = amount, this is not mandated except by external rules sets.",単価,"計測可能物の単価。_x000D_
measurableQuantity * measurableCostPerUnit = amountであることを期待するかもしれないが、外部規則がなければ必須ではない。"
274,2,Attribute,,bus,Measurable,Measurable Start Time,,Date Time,,,0..1,Start time of the duration being measured,開始日時,計量期間の開始時刻。
275,2,Attribute,,bus,Measurable,Measurable End Time,,Date Time,,,0..1,End time of the duration being measured,終了日時,計量期間の終了時刻。
276,2,Attribute,,bus,Measurable,Measurable Active,,Boolean,,,0..1,"Boolean to indicate whether the measurable is active (=""true"") or inactive (=""false"")",計測可能物有効性,計測可能物が有効か無効かを示すブール値。
277,1,Class,,bus,Detail_ Measurable,,,,,,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。
278,2,Specialization,,bus,Detail_ Measurable,,,,bus,Measurable,1,,,
279,1,Abstract Class,,bus,Job,,,,,,0..*,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。
280,2,Attribute,PK,bus,Job,Job ID,,String,,,0..1,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。
281,2,Attribute,,bus,Job,Job Description,,String,,,0..1,Description of job,ジョブ説明,ジョブの説明。
282,2,Attribute,,bus,Job,Job Phase,,String,,,0..1,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。
283,2,Attribute,,bus,Job,Job Phase Description,,String,,,0..1,"Description of Job code, phase, activity",ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。
284,2,Attribute,,bus,Job,Job Active,,Boolean,,,0..1,"Boolean to indicate whether the job is active (=""true"") or inactive (=""false"")",ジョブ有効性,ジョブが有効か無効かを示すブール値。
285,1,Class,,bus,Detail_ Job,,,,,,0..*,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。
286,2,Specialization,,bus,Detail_ Job,,,,bus,Job,1,,,
287,1,Abstract Class,,bus,Depreciation Mortgage,,,,,,0..*,"Parent for information related to depreciation, mortgages, etc.",【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。
288,2,Attribute,,bus,Depreciation Mortgage,Depreciation Mortgage Jurisdiction,,Token,,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",抵当債務管轄,"管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。_x000D_
[設定値のリスト]_x000D_
(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)"
289,2,Attribute,,bus,Depreciation Mortgage,Depreciation Method,,String,,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。
290,2,Attribute,,bus,Depreciation Mortgage,Depreciation Mortgage Life,,Decimal,,,0..1,Length of life in number of periods.,抵当債務期間,存在する期間数。
291,2,Attribute,,bus,Depreciation Mortgage,Depreciation Mortgage Description,,String,,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。
292,2,Attribute,,bus,Depreciation Mortgage,Depreciation Mortgage Start Date,,Date Time,,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。
293,2,Attribute,,bus,Depreciation Mortgage,Depreciation Mortgage End Date,,Date Time,,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。
294,2,Attribute,,bus,Depreciation Mortgage,Depreciation Mortgage Amount,,Monetary,,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。
295,1,Class,,bus,Detail_ Depreciation Mortgage,,,,,,0..*,"Parent for information related to depreciation, mortgages, etc.",【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。
296,2,Specialization,,bus,Detail_ Depreciation Mortgage,,,,bus,Depreciation Mortgage,1,,,
297,1,Abstract Class,,ehm,Serial or Lot,,,,,,0..*,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。
298,2,Attribute,PK,ehm,Serial or Lot,Serial or Lot Code,,Token,,,0..1,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the class, neither is assumed.",シリアル・ロット識別コード,この項目はシリアル番号またはロット番号で管理されているか？シリアル番号は一意に付番されたもので、ロット番号は同一バッチの区別を目的に使用される。
299,2,Attribute,,ehm,Serial or Lot,Serial or Lot Description,,String,,,0..1,Free format description associated with gl-ehm:serialLotCode to provide specialization and especially to provide clarification for the enumerated value of other in serialLotCode. Examples might be “batch” or “group”.,シリアル・ロットの説明,gl-ehm:serialLotCode の「その他」の値のための自由記述の説明（例：バッチ、グループなど）。
300,2,Attribute,,ehm,Serial or Lot,Serial or Lot Number,,String,,,0..1,The holder for that actual serial number or lot (batch) number/code assigned to an item or a batch of items.,シリアル番号・ロット番号,対象アイテムやロットに割り当てられた実際の番号／コードを保持する。
301,2,Attribute,,ehm,Serial or Lot,Next Serial or Lot Number,,String,,,0..1,"A field for holding the next expected serial or lot number to be given to future assignments, or for chaining between already assigned items.",次のシリアル・ロット番号,今後割り当て予定の次のシリアル／ロット番号や、既に割り当てられたアイテムの連結に使用。
302,2,Attribute,,ehm,Serial or Lot,Serial or Lot Quantity,,Decimal,,,0..1,The quantity of units in this particular batch. Unit of measure is the gl-bus:measurableUnitofMeasure.,シリアル・ロットの数量,該当ロット内の単位数。単位は gl-bus:measurableUnitofMeasure に基づく。
303,2,Attribute,,ehm,Serial or Lot,Serial or Lot Original Quantity,,Decimal,,,0..1,The quantity of units in this batch on inception.,シリアル・ロット元数量,このロットが生成された時点の元の数量。
304,2,Attribute,,ehm,Serial or Lot,Serial or Lot Remaining Quantity,,Decimal,,,0..1,The remaining quantity of units from the original batch; may be the same as the quantity in this batch or include other batches from the same original batch.,シリアル・ロット残数量,元ロットからの残りの数量。
305,2,Attribute,,ehm,Serial or Lot,Serial or Lot Origination,,Date Time,,,0..1,Date of manufacture or creation.,シリアル・ロット生成日,製造日または作成日。
306,2,Attribute,,ehm,Serial or Lot,Serial or Lot Expiration,,Date Time,,,0..1,Expiration date of the batch.,シリアル・ロット有効期限,ロットの有効期限。
307,2,Attribute,,ehm,Serial or Lot,Serial or Lot Manufacturer,,String,,,0..1,Manufacturer of the item (serial) or items (lot/batch).,シリアル・ロット製造元,シリアル番号またはロットの製造者。
308,2,Attribute,,ehm,Serial or Lot,Serial or Lot Batch Description,,String,,,0..1,A name or description of the items in the lot or batch.,シリアル・ロットバッチの説明,ロットまたはバッチ内のアイテムの名称や説明。
309,2,Attribute,,ehm,Serial or Lot,Serial or Lot Warranty Start Date,,Date Time,,,0..1,"If the items are covered by warranty, when that warranty covered will begin or has begun.",保証開始日,保証対象となる場合の保証開始日。
310,2,Attribute,,ehm,Serial or Lot,Serial or Lot Warranty End Date,,Date Time,,,0..1,"If the items are covered by warranty, when that warranty covered will end or ended.",保証終了日,保証対象となる場合の保証終了日。
311,2,Attribute,,ehm,Serial or Lot,Serial or Lot Warranty Period,,Decimal,,,0..1,"Warranty period – numeric portion; for a 30 day warranty period, the 30 would go here, and the day would go in gl-ehm:serialLotWarrantyPeriodUnit.",保証期間（数値）,保証期間の数値部分（例：30日保証の場合は「30」）。
312,2,Attribute,,ehm,Serial or Lot,Serial or Lot Warrant Period Unit,,String,,,0..1,"Warrant period – time or cycle unit portion. Values from the XBRL Unit Registry (www.xbrl.org/utr/utr.xml) are suggested where possible. Examples might include: H (hours), D (days), M (months), Y (years), machine cycles, km (kilometers).",保証期間（単位）,保証期間の単位（例：日、月、年、km、機械サイクルなど）。
313,2,Attribute,,ehm,Serial or Lot,Warranty Vendor,,String,,,0..1,The vendor providing warranty; this may differ from the manufacturer.,保証提供業者,保証を提供するベンダー（製造者とは異なる可能性あり）。
314,2,Attribute,,ehm,Serial or Lot,Warranty Contract,,String,,,0..1,"Contract or document information related to the warranty, such as a contract number and date or a URL with more information.",保証契約情報,保証に関する契約番号、日付、URL などの情報。
315,2,Attribute,,ehm,Serial or Lot,Serial or Lot Comment,,String,,,0..1,Free format text related to the serial number or lot.,シリアル・ロット備考,シリアルまたはロットに関する自由形式のテキスト。
316,1,Class,,ehm,Detail_ Serial or Lot,,,,,,0..*,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。
317,2,Specialization,,ehm,Detail_ Serial or Lot,,,,ehm,Serial or Lot,1,,,
318,1,Abstract Class,,cor,Tax,,,,,,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。
319,2,Attribute,,cor,Tax,Tax Authority,,String,,,0..1,Name of the relevant tax authority,課税庁,関係する課税庁の名前。
320,2,Attribute,,cor,Tax,Tax Table Code,,String,,,0..1,Tax table code used by the relevant tax authority,税率表コード,関係する課税庁で使用される税率表のコード。
321,2,Attribute,,cor,Tax,Tax Description,,String,,,0..1,Description of tax authority,課税庁説明,課税庁の説明。
322,2,Attribute,,cor,Tax,Amount of Taxes,,Monetary,,,0..1,Amount of taxes,税額,税額。
323,2,Attribute,,cor,Tax,Basis for Taxation,,Monetary,,,0..1,Basis for taxation,課税基準,課税基準。
324,2,Attribute,,cor,Tax,Tax Percentage Rate,,Pure,,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,税率,"VAT(物品税)またはその他の税のパーセント比率。_x000D_
0から1.0の間の値。たとえば50%は0.5とあらわす。"
325,2,Attribute,,cor,Tax,Tax Category,,String,,,0..1,A class or category of taxes,税区分,税のクラス又はカテゴリ。
326,2,Attribute,,cor,Tax,Tax Comment/Exemption Reason,,String,,,0..1,Additional text/code for exemption reasons or other comments.,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。
327,2,Attribute,,cor,Tax,Tax Amount in Foreign Currency,,Monetary,,,0..1,"If the tax is in a foreign currency, the amount of tax in that currency",外貨建税額,税が外貨建ての場合の、税額。
328,2,Attribute,,cor,Tax,Tax Foreign Currency,,QName,,,0..1,"If the tax is in a foreign currency, that currency",外貨建税額通貨,税が外貨建ての場合の、通貨。
329,2,Attribute,,cor,Tax,Tax Exchange Rate Date,,Date Time,,,0..1,"If the tax is in a foreign currency, the date or date and time of the exchange rate used",税額換算レート日付,税が外貨建ての場合の、換算レートの日付または日付/時刻。
330,2,Attribute,,cor,Tax,Tax Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency, the exchange rate used expressed as national currency divided by foreign currency",税額換算レート,税が外貨建ての場合の、換算レート。自国通貨を外貨で割った値。
331,2,Attribute,,cor,Tax,Tax Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency, source of exchange rate - for example, Reuters, Bloomberg",税額換算レート情報源,"税が外貨建ての場合の、換算レートの情報源。たとえば、Reuters, Bloomberg"
332,2,Attribute,,cor,Tax,Tax Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency, type of exchange rate - for example, spot rate, forward contract etc.",税額換算レート種別,税が外貨建ての場合の、換算レートの種別。たとえば、スポット・レート、先物など。
333,2,Attribute,,cor,Tax,Tax Exchange Rate Comment,,String,,,0..1,"If the tax is in a foreign currency, comment about exchange rate used",税額換算レートコメント,税が外貨建ての場合の、換算レートに関するコメント。
334,2,Attribute,,cor,Tax,Tax Amount in Triangulation Currency,,Monetary,,,0..1,"If the tax is in a foreign currency and triangulation is used, the amount of that tax in the triangulation currency",税額トライアンギュレーション通貨換算額,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨での税額。
335,2,Attribute,,cor,Tax,Tax Triangulation Currency,,QName,,,0..1,"If the tax is in a foreign currency and triangulation is used, the triangulation currency",税額換算トライアンギュレーション通貨,税が外貨建てで、トライアンギュレーション取引の場合の、トライアンギュレーション通貨。
336,2,Attribute,,cor,Tax,Tax Triangulation Currency Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency and triangulation is used, the exchange rate used expressed as national currency divided by triangulation currency",税額トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。自国通貨をトライアンギュレーション通貨で割った値。
337,2,Attribute,,cor,Tax,Tax Triangulation Currency Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",税額トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg"
338,2,Attribute,,cor,Tax,Tax Triangulation Currency Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",税額トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など
339,2,Attribute,,cor,Tax,Tax Foreign to Triangulation Currency Exchange Rate,,Pure,,,0..1,"If the tax is in a foreign currency and triangulation is used,  the exchange rate used expressed as foreign currency divided by triangulation currency",税額外貨トライアンギュレーション通貨換算レート,税が外貨建てで、トライアンギュレーション取引の場合の、換算レート。外貨をトライアンギュレーション通貨で割った値。
340,2,Attribute,,cor,Tax,Tax Foreign to Triangulation Currency Exchange Rate Source,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, source of exchange rate - for example, Reuters, Bloomberg",税額外貨トライアンギュレーション通貨換算レート情報源,"税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの情報源。たとえば、Reuters, Bloomberg"
341,2,Attribute,,cor,Tax,Tax Foreign to Triangulation Currency Exchange Rate Type,,String,,,0..1,"If the tax is in a foreign currency and triangulation is used, type of exchange rate - for example, spot rate, forward contract etc.",税額外貨トライアンギュレーション通貨換算レート種別,税が外貨建てで、トライアンギュレーション取引の場合の、換算レートの種別。たとえば、スポット・レート、先物など。
342,1,Class,,cor,Detail_ Tax,,,,,,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。
343,2,Specialization,,cor,Detail_ Tax,,,,cor,Tax,1,,,
344,1,Class,,cor,Document,,,,,,0..*,A tool to capture the flow of related documents in the business process.,【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
345,2,Attribute,,cor,Document,Document Type,,Token,,,0..1,"Document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other)
346,2,Attribute,PK,cor,Document,Document Number,,String,,,0..1,Document number,発生元文書番号,発生元文書の番号。
347,2,Attribute,,cor,Document,Document Date,,Date,,,0..1,Document date,発生元文書日付,発生元文書の日付。
348,2,Attribute,,cor,Document,Document Identifier Type,,Token,,,0..1,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)
349,2,Attribute,,cor,Document,Document Identifier Code,,String,,,0..1,Document identifier code,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。
350,1,Class,,taf,Originating Document,,,,,,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
351,2,Specialization,,taf,Originating Document,,,,cor,Document,1,,,
352,2,Attribute,,taf,Originating Document,Document Identifier Tax Code,,Token,,,0..1,Originating document identifier tax code,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。
353,1,Abstract Class,,lnk,Rich Text Comment,,,,,,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。
354,2,Attribute,,lnk,Rich Text Comment,Comment Code,,String,,,0..1,"An enumerated code that identifies the purpose of the rich text comment. Enumerated values: link_footnote, footnote, source_document, source_journal, batch, other.",リッチテキストコメントコード,"リッチテキストコメントの用途を識別する、列挙コード。_x000D_
[設定値のリスト]_x000D_
link_footnote：リンクフットノート、footnote：フットノート、source_document：元文書、source_journal：元仕訳帳、batch：仕訳の束、other：その他"
355,2,Attribute,,lnk,Rich Text Comment,Comment Description,,String,,,0..1,Free format description of the Rich text Comment Code.,リッチテキストコメント説明,リッチテキストコメントコードの説明。
356,2,Attribute,,lnk,Rich Text Comment,Comment Content,,String,,,0..1,Content of the Rich Text Comment.,リッチテキストコメント内容,リッチテキストコメントの内容。
357,2,Attribute,,lnk,Rich Text Comment,Comment Locator,,String,,,0..1,An XPath expression that identifies the item that the comment relates to.,リッチテキストコメントロケータ,コメントが関係する項目を識別する、XPath表現。
358,1,Class,,lnk,Detail_ Rich Text Comment,,,,,,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。
359,2,Specialization,,lnk,Detail_ Rich Text Comment,,,,lnk,Rich Text Comment,1,,,
360,1,Abstract Class,,cor,Detail,,,,,,0..*,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。
361,2,Attribute,PK,cor,Detail,Line Number,,String,,,0..1,Identifier for a particular entry detail,明細行番号,仕訳明細の識別子。
362,2,Attribute,,cor,Detail,Line Number Counter,,Decimal,,,0..1,Unique reference for the line - a numeric counter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ
363,2,Attribute,,cor,Detail,Posting Date,,Date Time,,,0..1,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。
364,2,Attribute,,cor,Detail,Memo Line,,Boolean,,,0..1,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。
